,,Institution,Founded,EIIN,Web,Number,Email,,,733,732,601
,C,Cantonment Board Secondary School. Jashore - CBJSSJ  ,"1-Aug,1989",137063,https://cantonmentboardjuniorschool.jessoreboard.gov.bd/,017837-88576,cbjsc1989@gmail.com,,,246,246,147
,C,"Cantonment Board High School, Mymensingh - CBHSM   ","15-Jul, 1990",111848,http://cbhsmym.edu.bd/,01672-656405,cbhs.momenshahi@gmail.com,,,47,47,23
,C,"Cantonment Board High School, Mirpur - CBHSMP    ","15-Jul,1991",108332,N/A,01309-108332,cbhmirpur@gmail.com,,,272,272,217
,C,"Cantonment Public School & College, Momenshahi - CPSCM   ","4-Mar, 1993",111925,http://cbhsmym.edu.bd/,01672-656405,cbhs.momenshahi@gmail.com,,,109,107,30
Name Cutted,C,"Cantonment Board High School, BUSMS - CBHSBUSMS    ","23-Jan, 1994",120953,http://cbhsbusms.edu.bd/,3173,info@cbhsbusms.com,,,189,189,135
Name Cutted,C,"Cantonment Public School & College, BUSMS - CPSCBUSMS ","25-Jan, 1994",121064,"https://cpscbusms.edu.bd/details/welcome-to-cpsc-,busms",01735-190425,cpscbusms94@gmail.com,,,153,153,82
,C,"Cantonment Board Girl’s High School, Rangpur - CBGHS","1-Jan, 1995",127431,http://cbghsrangpur.edu.bd/,067300-73173,cbghsrangpur@yahoo.com,,,6,6,2
,C,"Cantonment English School & College, Chittagong - CESC",1998,134133,https://cesc.edu.bd/,02-339243173,cescctg05@gmail.com,,,154,154,117
,C,"Cantonment College, Cumilla - CCC       ","10-Jun, 2002",131957,https://ccc.edu.bd/,01309-131957,cantcollegecumilla@gmail.com,,,158,156,29
,C,"Cantonment Public School & College, Lalmonirhat - CPSCL  ","24-Dec, 2014",137653,http://www.cpscl.edu.bd/,01828-390683,cpsclal@gmail.com,,,200,200,143
,C,Chakaria Cantonment English School - CCES        ,2016,139063,https://www.cces.edu.bd/#/home,N/A,N/A,,,105,102,49
,D,Dawood Public School & College - DPSC      ,"3-Sep,1959",115974,https://www.dpsc.edu.bd/,0421-551467,dawood.public@yahoo.com,,,177,147,54
,D,"Dhaka Cantonment Board Adarsha Biddy Niketon - DCBABN   
ADARSHA BIDYANIKETON, MANIKDI","1-Feb, 1979",107849,http://dcbabn.edu.bd/,02-8714470,info@dcbabn.edu.bd,,,24,24,6
,D,Dhaka Cantonment Girls Public School & College - DCGPSC  ,"1-Aug,2005",132090,https://www.dcgpsc.edu.bd/,01769-017725,dcgpsc2005@gmail.com,,,17,16,11
,G,Gazipur Cantonment Board High School - GCBHS    ,"23-Aug, 1968",108957,http://www.gcbhs.edu.bd/,9205684/5808,N/A,,,116,114,56
,G,Ghatail Cantonment Public School & College - GCPSC     ,"30-Mar, 1991",114199,https://www.gcpsc.edu.bd/,01309-114199,gcpsc91@gmail.com,,,137,137,77
,G,Gazipur Cantonment College - GCC        ,"12-Dec, 1992",109033,https://www.gccbof.edu.bd/,01726-351242,gccbof@gmail.com,,,250,249,187
,G,Gunner’s English School - GES       ,"1-Dec, 1997",138737,http://www.gesctg.edu.bd/,031-726371,gesctgbd@gmail.com,,,329,328,220
,G,"Ghatail Cantonment English School - GCSE
GHATAIL CANTONMENT ENGLISH SCHOOL AND COLLEGE","18-Jan, 2000",137643,https://www.sohopathi.com/ghatail-cantonment-english-school/,01769-193172,"gcesc00@gmail.com, gcesc2000@yahoo.com",,,148,146,24
,G,Gazipur Cantonment Board Girls High School - GCBGHS      ,"1-Jan, 2004",130711,N/A,01865-298542,N/A,,,85,80,35
,G,Gazipur Cantonment Public School & College - GPCPSC      ,"1-Jan, 2017",138372,https://www.gpcpsc.edu.bd/,1766384136,info@gpcpsc.edu.bd,,,33,32,19
,H,Halishahar Cantonment Public School & College - HCPSC      ,"20-Jan, 2013",135721,https://www.hcpsc.edu.bd/,02-333316460,info@hcpsc.edu.bd,,,35,34,20
,I,"Ispahani Public School & College, Cumilla - IPSCC","28-Sep, 1962",105826,https://www.ipsc.edu.bd/,01733-063001,ipsccml@gmail.com,,,-,-,-
,J,Jalalabad Cantonment Board High School - JCBHS,"1-Jan, 1980",130394,https://www.jcbhs.edu.bd/,01769-173175,jcbhs1100@gmail.com,,,327,324,215
,J,Jalalabad Cantonment English School & College - JCESC      ,1987,137882,https://www.jcesc.edu.bd/,01713-388961,jcesc.bd@gmail.com,,,48,22,0
,J,Jessore English School & College - JESC      ,"15-Nov, 1995",134057,https://jesc.edu.bd/,01769-553174,jesc.jescantt@gmail.com,,,41,39,3
,J,Jahanabad Cantonment Public School & College - JCPSC   ,"19-Aug, 1996",132029,https://www.cpsckhulna.edu.bd/,01769-564544,cpsc.khulna@gmail.com,,,168,166,74
Under JCPSC,J,Jahanabad Cantonment English School & College - JCESCK     ,1996,138995,https://www.cpscevjes.edu.bd/,01309-138995,jesjahanabadcant@gmail.com,,,146,144,65
,J,Jalalabad Cantonment Public School & College - JCPSCS   ,"4-Jul, 1999",130459,http://jcpscsylhet.edu.bd/#/,01717-574998,principaljcpsc99@gmail.com,,,277,276,86
Name Changed,J,Jamuna Cantonment Public School & College - JCPSCT,"5-Aug,2007",138464,https://bcpsac.edu.bd/,N/A,bcps2007@hotmail.com,,,-,-,-
,J,Jolshiri Cantonment School & College - JCSC,"03- Jan, 2019",139636,https://jolshiricsc.edu.bd/,01769-057660,jscpsc2021@gmail.com,,,45,45,33
,K,Khagrachari Cantonment Public School & College - KCPSC  ,"28-Dec, 2005",132070,https://www.kcpsc.edu.bd/,02-3333435269,kcpsc2005@gmail.com,,,60,60,54
,L,"Lakers’ Public School & College, Rangamati - LPSC     ","23-Feb, 1991",107796,https://www.lakers.edu.bd/#/home,02-333304856,107796@bise-ctg.gov.bd,,,114,113,54
,M,"Muslim Modern Academy, Dhaka Cantonment - MMA      ","1-Jan, 1963",107848,https://www.mmacademy.edu.bd/,8711080,info@mmacademy.edu.bd,,,24,21,9
,M,Mahmudul Hasan Sapper Primary School - MHSPS    ,"1-Sep,1982",137576,N/A,01712-772410,N/A,,,408,398,236
,M,Mainamati English School & College - MESC      ,"13-Aug,1997",138364,http://mesc.edu.bd/,01769-331361,mis.cml.cantt@gmail.com,,,94,86,15
,M,"Millennium Scholastic School & College, Bogura - MSSC   ","16-May, 1998",133723,https://msscbogra.edu.bd/#/home,01769-123175,msscbogura@gmail.com,,,-,-,-
,M,"Morning Glory School & College, Savar Cantonment - MGSC ","28-Aug, 1999",134793,https://www.mgsc.edu.bd/,01704-172633,info@mgsc.edu.bd,,,45,45,35
,M,Mymensingh International School - MIS        ,"4-Mar, 2000",139427,www.mismyn.edu.bd,01769-203172,secymes@gmail.com,,,105,105,102
,M,Mirpur Cantonment Public School & College - MCPSC       ,"2-Jan, 2014",136788,https://mcpsc.edu.bd/,01787-712115,mirpurcpsc@gmail.com,,,130,139,94
Name Changed,N,Natun Kuri Cantonment School & College - NKCSC,1983,106769,https://www.nkchs.edu.bd/,02333-343634,natunkuri.chs@gmail.com,,,62,62,18
Newly added,N,Navy Anchorage School & College Dhaka - NACD,2000,138368,,,,,,117,117,67
Newly added,N,Navy Anchorage School & College Chattogram - NACC,2000,138368,,,,,,110,110,71
Newly added,N,Navy Anchorage School & College Khulna - NACK,2014,135249,,,,,,313,313,265
,N,Nirjhor Cantonment Public School & College - NCPSC    ,"29-Apr, 2015",138185,https://ncpsc.edu.bd/,01769-026640,info@ncpsc.gmail.com,,,-,-,-
Name Changed,P,Padma Cantonment Public School & College - PCPSC,"1-Jan, 2020",139205,https://srcpsc-zajira.com/,0176909-5465,info@srcpsc-zajira.com,,,121,121,117
,Q,Qadirabad Cantonment Public School - QCPS        ,"1-Jan, 1928",123838,https://www.qcps.edu.bd/,02589-143170,qcps2015@gmail.com,,,-,-,-
,Q,Qadirabad Cantonment Sapper College - QCSC     ,"19-Aug,1995",123887,https://qcsc.edu.bd/,01309-123887,qcsc1995@gmail.com,,,39,39,24
,R,Rajshahi Cantonment Board School & College - RCBSC      ,"1-Jan, 1986",126445,http://www.rcbsc.edu.bd/,0721-761037,rcbsc@gmail.com,,,235,234,78
,R,Rajendrapur Cantonment Public School & College - RCPSC  ,"16-Apr, 1995",109039,https://rcpsc.edu.bd/,88-02-999033170,admin@kingsteruni.edu,,,662,656,453
,R,"River View International School & College, Dhaka - RVISC      ",2001,130813,https://www.sohopathi.com/riverview-int-school-and-college/,01760-168836,N/A,,,242,241,116
,R,Rajshahi Cantonment Public School & College - RAJCPSC   ,"5-Sep, 2013",137686,https://rajcpsc.edu.bd/,01537-702224,rajcpsc2013@yahoo.com,,,65,58,10
,R,"Rainbow Kindergarten, Dhaka Cantonment - RK        ","1-Jan, 2014",137271,www.rbk.edu.bd,01769-018272,rainbowkindergarten2014@gmail.com,,,148,141,30
,R,Ramu Cantonment English School & College - RCESC      ,"23-Sep,2015",138420,https://www.rces.edu.bd/,01769-102019,rces.school@gmail.com,,,168,164,54
,S,Shaheed Ramiz Uddin Cantonment School - SRCC,"1-Jan, 1939",107850,https://www.sbbrcs.edu.bd/,N/A,srcs1939@gmail.com,,,162,162,37
,S,Shaheed Bir Uttam Lt. Anwar Girls College - SAGC       ,"1-Jan, 1957",132143,https://sagc.edu.bd/,01878-634661,sagc1957@gmail.com,,,77,76,43
,S,Savar Cantonment Public School & College - SCPSC     ,"2-Feb, 1977",108459,https://www.scpsc.edu.bd/,01769-095174,scpscoffice@gmail.com,,,-,-,-
,S,Saidpur Cantonment Board High School - SCBHS    ,"31-Jul, 1978",125206,N/A,N/A,cantt.boardschool_saidpur@yahoo.com,,,193,193,89
,S,Savar Cantonment Board Boy’s High School - SCBBHS      ,"26-Jan, 1979",136753,https://scbbhs.edu.bd/,01717-784472,scbbhs1988@gmail.com,,,61,60,22
,S,Savar Cantonment Board Girl’s High School - SCBGHS      ,"26-Jan,1979",108407,https://scbghs.edu.bd/,01736-415499,scbghs@gmail.com,,,126,125,41
,S,"Sena Palli High School, Dhaka Cantonment - SHS        ","1-Jan, 1982",107846,https://deb107846.dhakaeducationboard.gov.bd/index.php/content/index/6,N/A,senapally@gmail.com,,,-,-,-
,S,Shaheed Lt. G.M. Mushfique Bir Uttam High School - SLGMMBUHS    ,1992,104677,https://www.sohopathi.com/shaheed-lt-g-m-mushfique-bir-uttam-high-school/,01769-253172,104677@bise-ctg.gov.bd,,,135,135,95
,S,Sappers' Angelic Millennium School - SAMS    ,"16-Apr, 1995",3430354,https://samschool.edu.bd/,01315-880027,sappersangelic@gmail.com,,,,15%,
,S,Shaheed Ramiz Uddin Cantonment College - SRCC       ,"1-Jan, 1998",107857,http://srcc.edu.bd/,17660-19025,srucollege@gmail.com,,,"15,571",,
,S,Sena Public School & College - SPSC                                                                          ,"1-Jan, 2010",134152,https://spscsdohs.edu.bd/,02229090000-5,spsc.savarcantt@gmail.com,,,,,
Name Changed,S,Shaheed Lieutenant Tanzim Cantonment Public School and College - SLTCPSC,2018,138422,https://www.cpscramu.edu.bd/,01769-104529,rcpsc2018@gmail.com,,,,,
,S,Sylhet Cantonment Public School & College - SLCPSC     ,"1-Jan, 2019",138579,https://www.sylhetcpsc.edu.bd/,01329-767888,sylhet.cpsc.2018@gmail.com,,,,,
,T,Torch International School - TIS ,"1-Mar, 1985",423744,https://tis.edu.bd/,02-8031111,kindergarten.torch@gmail.com,,,,,
,T,"The Millennium Stars School & College, Rangpur - TMSSCR     ","23-Jan, 1993",134127,http://tmsscr.edu.bd/,0521-64220,tms052164220@gmail.com,,,,,
